id,condition,v1_item,v1_Q1,v1_Q2,v1_Q3,v1_Q4,v2_item,v2_Q1,v2_Q2,v2_Q3,v2_Q4,v3_item,v3_Q1,v3_Q2,v3_Q3,v3_Q4,item_reported
345,control,control,,50,41,43,control,,48,32,41,coin,,54,57,59,999
346,control,control,,63,64,69,control,,65,67,64,coin,,86,88,80,2
347,control,control,,45,52,46,control,,40,51,43,coin,,67,76,65,999
348,control,control,,38,35,32,control,,34,37,21,coin,,57,61,56,999
349,control,control,,57,54,65,control,,57,62,63,coin,,80,80,84,2
350,control,control,,58,62,56,control,,57,55,51,coin,,33,35,23,999
351,control,control,,45,47,37,control,,41,46,35,coin,,16,14,21,999
352,control,control,,46,56,45,control,,41,56,40,coin,,69,77,57,2
353,control,control,,40,32,41,control,,48,23,44,coin,,58,64,57,999
354,control,control,,50,48,46,control,,41,46,50,coin,,39,39,34,999
355,control,control,,32,31,29,control,,38,37,33,coin,,57,52,65,0
356,control,control,,61,53,61,control,,60,50,61,coin,,64,72,68,999
357,control,control,,28,22,25,control,,29,22,27,coin,,55,56,59,2
358,control,control,,57,60,49,control,,59,59,43,coin,,12,11,12,999
359,control,control,,51,52,46,control,,54,57,51,coin,,70,74,79,2
360,control,control,,73,85,78,control,,80,84,66,coin,,37,37,34,999
361,control,control,,46,49,38,control,,43,64,37,coin,,49,57,44,999
362,control,control,,33,30,23,control,,31,25,23,coin,,45,49,41,999
363,control,control,,48,54,48,control,,43,56,52,coin,,0,0,0,999
364,control,control,,57,53,58,control,,55,47,55,coin,,51,54,51,999
365,control,control,,72,70,71,control,,75,71,75,coin,,48,51,54,999
366,control,control,,49,44,44,control,,45,41,46,coin,,39,34,39,999
367,control,control,,73,76,72,control,,76,83,68,coin,,51,47,47,999
368,control,control,,39,46,43,control,,34,40,42,coin,,49,52,47,999
369,control,control,,51,56,50,control,,44,44,50,coin,,30,32,25,999
370,control,control,,48,46,38,control,,47,48,35,coin,,53,56,53,0
371,control,control,,38,43,39,control,,42,43,40,coin,,80,84,85,0
372,control,control,,28,30,34,control,,29,25,39,card,,48,45,57,999
373,control,control,,28,28,23,control,,34,25,23,card,,52,51,52,999
374,control,control,,32,20,35,control,,32,23,28,card,,37,40,34,999
375,control,control,,52,52,49,control,,57,53,50,card,,14,12,14,999
376,control,control,,30,30,24,control,,32,29,19,card,,55,48,50,999
377,control,control,,31,21,34,control,,32,17,26,card,,0,0,0,999
378,control,control,,37,29,43,control,,33,29,48,card,,80,80,85,2
379,control,control,,42,48,46,control,,49,48,48,card,,36,36,40,999
380,control,control,,44,53,37,control,,38,46,38,card,,69,69,68,999
381,control,control,,52,53,51,control,,47,50,47,card,,40,35,43,2
382,control,control,,62,62,60,control,,57,67,60,card,,45,43,43,999
383,control,control,,47,52,46,control,,51,54,41,card,,48,42,59,999
384,control,control,,60,61,56,control,,66,63,60,card,,69,64,69,0
385,control,control,,39,51,40,control,,30,60,47,card,,59,54,56,999
386,control,control,,12,21,11,control,,14,30,6,card,,33,30,28,999
387,control,control,,66,58,66,control,,59,53,74,card,,51,60,51,999
388,control,control,,44,44,42,control,,43,47,35,card,,69,75,63,999
389,control,control,,37,32,37,control,,33,31,29,card,,0,0,0,999
390,control,control,,30,36,35,control,,30,29,38,card,,44,40,43,999
391,control,control,,19,25,24,control,,23,23,21,card,,40,42,34,999
392,control,control,,27,30,19,control,,17,35,13,card,,58,55,52,999
393,control,control,,18,11,19,control,,18,8,20,card,,28,18,27,999
394,control,control,,36,39,32,control,,39,35,33,card,,45,37,40,999
395,control,control,,32,32,35,control,,29,33,30,card,,45,42,46,999
396,control,control,,28,29,28,control,,37,28,24,card,,90,99,95,2
397,control,control,,59,56,57,control,,57,60,68,card,,58,62,56,999
398,control,control,,59,57,56,control,,51,62,61,card,,44,35,51,0
399,control,control,,41,41,44,control,,42,50,36,card,,57,50,51,999
400,control,control,,47,51,40,control,,47,49,32,card,,62,56,62,999
401,control,control,,51,52,46,control,,49,54,52,card,,50,49,59,999
402,control,control,,75,76,76,control,,78,68,79,card,,56,57,55,0
403,control,control,,57,48,61,control,,63,37,69,card,,65,54,73,999
404,control,control,,22,28,16,control,,30,29,19,card,,34,36,37,999
405,control,control,,50,52,53,control,,37,47,55,card,,48,47,44,0
406,control,control,,44,39,43,control,,37,40,45,card,,35,36,42,0
407,control,control,,61,55,65,control,,62,64,63,card,,35,37,36,0
408,control,control,,33,28,35,control,,40,20,18,card,,32,34,25,999
409,control,control,,37,42,39,control,,45,37,35,card,,57,59,53,999
410,control,control,,42,40,42,control,,34,35,41,card,,37,37,40,999
411,control,control,,63,61,70,control,,68,66,74,card,,0,0,0,999
412,control,control,,49,49,49,control,,48,44,53,card,,55,53,57,0
413,control,control,,20,21,20,control,,12,22,21,card,,63,66,62,0
414,control,control,,20,17,22,control,,19,18,34,card,,63,66,61,999
415,control,control,,56,52,58,control,,49,48,58,card,,50,45,55,999
416,control,control,,48,45,50,control,,37,44,54,card,,56,53,60,999
417,control,control,,73,74,74,control,,66,78,70,card,,45,51,56,0
418,control,control,,54,52,55,control,,56,59,60,card,,44,47,37,999
419,control,control,,47,41,46,control,,47,37,45,card,,54,56,55,999
420,control,control,,46,45,38,control,,43,50,42,card,,12,14,12,999
421,control,control,,64,59,66,control,,63,61,59,card,,25,27,33,999
422,control,control,,44,42,42,control,,44,42,42,card,,12,16,9,999
423,control,control,,53,44,52,control,,57,38,33,card,,54,57,54,0
424,control,control,,60,69,69,control,,54,67,67,card,,20,24,18,0
425,control,control,,25,31,18,control,,21,37,16,handkerchief,,22,23,23,999
426,control,control,,68,71,76,control,,72,66,73,handkerchief,,32,36,26,999
427,control,control,,42,41,46,control,,42,47,46,handkerchief,,28,26,15,999
428,control,control,,45,45,55,control,,43,45,63,handkerchief,,21,23,21,999
429,control,control,,69,75,66,control,,68,78,68,handkerchief,,14,12,4,999
430,control,control,,54,67,51,control,,57,67,54,handkerchief,,17,11,10,999
431,control,control,,54,48,55,control,,57,50,55,handkerchief,,20,14,20,999
432,control,control,,51,45,53,control,,57,41,53,handkerchief,,27,27,30,999
433,control,control,,43,47,47,control,,44,51,50,handkerchief,,27,25,30,999
434,control,control,,52,44,55,control,,44,43,56,handkerchief,,23,24,22,999
435,control,control,,67,67,60,control,,61,58,55,handkerchief,,34,36,37,999
436,control,control,,63,65,67,control,,62,57,60,handkerchief,,16,9,17,999
437,control,control,,54,52,48,control,,52,45,41,handkerchief,,31,32,33,999
438,control,control,,34,33,39,control,,35,35,38,handkerchief,,17,22,11,999
439,control,control,,62,62,61,control,,57,54,64,handkerchief,,35,37,34,0
440,control,control,,33,31,32,control,,37,38,28,handkerchief,,18,16,16,999
441,control,control,,54,53,57,control,,48,54,61,handkerchief,,86,89,90,2
442,control,control,,44,39,43,control,,46,45,45,handkerchief,,20,13,16,999
443,control,control,,69,70,67,control,,64,74,58,handkerchief,,20,17,16,999
444,control,control,,68,77,69,control,,73,76,64,handkerchief,,16,18,15,999
445,control,control,,55,52,47,control,,44,52,47,handkerchief,,29,25,31,999
446,control,control,,20,22,18,control,,19,12,11,handkerchief,,18,13,13,999
447,control,control,,52,51,43,control,,50,52,46,handkerchief,,19,10,26,999
448,control,control,,64,67,71,control,,63,60,77,handkerchief,,26,32,25,999
449,control,control,,48,43,50,control,,50,39,52,handkerchief,,46,47,43,0
450,control,control,,72,58,72,control,,77,56,64,handkerchief,,2,9,7,999
451,control,control,,72,60,76,control,,71,52,76,handkerchief,,8,13,8,999
452,control,control,,61,66,56,control,,67,66,62,handkerchief,,14,14,13,999
453,control,control,,74,75,76,control,,79,82,79,handkerchief,,19,18,21,0
454,control,control,,68,72,77,control,,67,77,75,handkerchief,,13,14,8,999
455,control,control,,53,53,43,control,,59,47,52,handkerchief,,18,17,16,999
456,control,control,,35,34,40,control,,32,40,34,handkerchief,,20,13,15,0
457,control,control,,28,22,33,control,,34,28,27,handkerchief,,21,30,27,999
458,control,control,,56,53,52,control,,52,54,42,handkerchief,,23,25,18,999
459,control,control,,56,54,62,control,,58,54,64,handkerchief,,13,13,14,999
460,control,control,,35,28,36,control,,39,25,40,handkerchief,,33,21,33,999
461,control,control,,54,54,55,control,,57,50,56,handkerchief,,7,8,2,999
462,control,control,,33,26,34,control,,42,28,25,handkerchief,,30,23,36,999
463,control,control,,61,65,66,control,,60,61,76,handkerchief,,23,17,34,999
464,control,control,,36,47,35,control,,36,49,29,handkerchief,,15,21,21,999
465,control,control,,35,43,39,control,,39,43,29,handkerchief,,16,14,21,999
466,control,control,,25,25,27,control,,15,17,28,handkerchief,,20,22,29,999
467,control,control,,56,56,50,control,,67,55,58,handkerchief,,9,4,12,999
468,control,control,,58,52,53,control,,59,56,48,handkerchief,,70,79,82,2
469,control,control,,47,39,42,control,,55,45,41,handkerchief,,28,30,29,999
470,control,control,,24,25,20,control,,27,29,18,handkerchief,,16,14,8,999
471,control,control,,43,40,48,control,,36,42,45,handkerchief,,19,15,21,999
472,control,control,,47,37,47,control,,41,39,45,handkerchief,,18,26,14,999
473,control,control,,32,18,26,control,,36,12,18,handkerchief,,34,37,30,999
474,control,control,,45,40,27,control,,42,32,22,handkerchief,,15,17,16,999
475,control,control,,67,78,65,control,,69,82,63,handkerchief,,21,10,20,999
476,control,control,,20,23,19,control,,13,25,11,handkerchief,,11,9,6,999
477,control,control,,56,56,48,control,,56,50,44,handkerchief,,22,14,24,999
